Unique ID,Name,Office Name,Office Phone,Office Fax,Office E-mail,Office Address,Office City,Office State,Office Country,Office Postal_code
31,Store 31,Store Test 31,4329987358,Store31fax,Store31fax@gmail.com,"Sohum ISIRI, Survey No.43/3,New No.43/5 Borewell Road Bangalore East",Bengaluru,Karnataka, India,560066
32,Store 32,Store Test 32,9629122827,Store32fax,Store32fax@gmail.com,"Krishh Celestria, Sector 34 C Kutak Bandhan",Navi Mumbai,Maharashtra, India,410210
33,Store 33,Store Test 33,3997771011,Store33fax,Store33fax@gmail.com,"CCD, 45/6 6th Cross Road",Bengaluru,Karnataka,India,500006
34,Store 34,Store Test 34,3154937562,Store34fax,Store34fax@gmail.com,E mankoli naka Mumbai Metropolitan Region Bhiwandi,Maharashtra,Maharashtra,India,421202
35,Store 35,Store Test 35,9948037896,Store35fax,Store35fax@gmail.com,"Sterling Wockhardt Hospital, Sector 7 Sion-Panvel Highway Mumbai Metropolitan Region",Navi Mumbai,Maharashtra,India,400703
36,Store 36,Store Test 36,8204929132,Store36fax,Store36fax@gmail.com,"No 7, 1st Cross Road ST Bed Layout  Bangalore South","Ejipura, Bengaluru",Karnataka,India,560047
37,Store 37,Store Test 37,4219052365,Store37fax,Store37fax@gmail.com,"2-3-364/2/1, Sainagar road no 7 Sri Ganesh Nagar Colony","Ward 11 Nagole, Hyderabad",Telangana,India,500068
38,Store 38,Store Test 38,5369181735,Store38fax,Store38fax@gmail.com," 1514, 2nd Cross Road AECS Layout",Bengaluru,Karnataka,India,560037
39,Store 39,Store Test 39,5369181735,Store38fax,Store38fax@gmail.com," 1514, 2nd Cross Road AECS Layout",Bengaluru,Karnataka,India,560037
40,Store 40,Store Test 40,4219052365,Store37fax,Store37fax@gmail.com,"2-3-364/2/1, Sainagar road no 7 Sri Ganesh Nagar Colony","Ward 11 Nagole, Hyderabad",Telangana,India,500068
